2024-06-03 19:39:49,183 WARN  SumoGuiAmbassador - The file scenarios/npr/sumo/sumo_config.json does not exist.
2024-06-03 19:39:49,184 INFO  SumoGuiAmbassador - sumoConfig.updateInterval: 1000
2024-06-03 19:39:49,184 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: null
2024-06-03 19:39:49,187 INFO  SumoGuiAmbassador - Found a SUMO configuration file: scenarios/npr/sumo/npr.sumocfg
2024-06-03 19:39:49,187 INFO  SumoGuiAmbassador - sumoConfig.sumoConfigurationFile: npr.sumocfg
2024-06-03 19:39:49,203 INFO  SumoGuiAmbassador - Simulation step size is 1.0 sec.
2024-06-03 19:39:50,220 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2024-06-03 19:39:50,220 INFO  SumoGuiAmbassador - Start Federate local
2024-06-03 19:39:50,220 INFO  SumoGuiAmbassador - Directory: ./tmp/sumo
2024-06-03 19:39:50,237 WARN  SumoGuiAmbassador - Error while connecting to SUMO. Retrying.
2024-06-03 19:39:51,252 INFO  SumoGuiAmbassador - Process sumo: Loading configuration ... done.
2024-06-03 19:39:54,401 WARN  TraciClientBridge - This TraCI API version 21 is currently not supported (but might work anyhow).
2024-06-03 19:39:54,415 INFO  SumoGuiAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2024-06-03 19:39:54,511 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2024-06-03 19:39:54,667 INFO  SumoGuiAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=J9
2024-06-03 19:39:54,683 INFO  SumoGuiAmbassador - Receive TrafficLightStateChange request
2024-06-03 19:39:54,684 INFO  SumoGuiAmbassador - Changing program of traffic light group 'J9' to program id '0'
2024-06-03 19:39:55,911 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,911 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,912 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,912 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,912 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,912 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 5000000000 ns (subscribe=true)
2024-06-03 19:39:55,914 INFO  SumoGuiAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2024-06-03 19:39:55,917 INFO  SumoGuiAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car, routeId=r_2, laneId=best, departPos=0.00)
2024-06-03 19:39:55,919 INFO  SumoGuiAmbassador - Adding new vehicle "veh_2" at simulation time 5000000000 ns (type=Car, routeId=r_1, laneId=best, departPos=0.00)
2024-06-03 19:39:55,921 INFO  SumoGuiAmbassador - Adding new vehicle "veh_3" at simulation time 5000000000 ns (type=Car, routeId=r_4, laneId=best, departPos=0.00)
2024-06-03 19:39:55,923 INFO  SumoGuiAmbassador - Adding new vehicle "veh_4" at simulation time 5000000000 ns (type=Car, routeId=r_3, laneId=best, departPos=0.00)
2024-06-03 19:39:55,924 INFO  SumoGuiAmbassador - Adding new vehicle "veh_5" at simulation time 5000000000 ns (type=Car, routeId=r_5, laneId=best, departPos=0.00)
2024-06-03 19:39:59,420 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.000,400,000 s: vehicleId="veh_1", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,426 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,300,000 s: vehicleId="veh_2", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,427 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,300,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,429 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,400,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,431 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,900,000 s: vehicleId="veh_2", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,432 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.001,900,000 s: vehicleId="veh_3", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,433 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.002,300,000 s: vehicleId="veh_0", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,437 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.002,400,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,438 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.002,800,000 s: vehicleId="veh_4", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:39:59,439 INFO  SumoGuiAmbassador - Receive VehicleSlowDown request at simulation time 15.002,800,000 s: vehicleId="veh_5", targetSpeed=3.0m/s, interval=5000000000ms
2024-06-03 19:40:03,955 INFO  SimulationFacade - Removed vehicle "veh_3" at simulation time 28000000000ns
2024-06-03 19:40:04,305 INFO  SimulationFacade - Removed vehicle "veh_4" at simulation time 29000000000ns
2024-06-03 19:40:04,305 INFO  SimulationFacade - Removed vehicle "veh_1" at simulation time 29000000000ns
2024-06-03 19:40:04,656 INFO  SimulationFacade - Removed vehicle "veh_2" at simulation time 30000000000ns
2024-06-03 19:40:05,355 INFO  SimulationFacade - Removed vehicle "veh_5" at simulation time 32000000000ns
2024-06-03 19:40:05,355 INFO  SimulationFacade - Removed vehicle "veh_0" at simulation time 32000000000ns
2024-06-03 19:40:08,509 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 41000000000 ns (subscribe=true)
